ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
394	1003_neg	NEG	BijangBai	Bai (Bijiang)	ɑ⁴²	ɑ⁴²	ɑ ⁴²	nort2724	1240	26.93	99.66		7 8	XT	A3	2	2.A.V 2.3.T	3.0 1.0	ɑ⁴²	0	54	ɑ ⁴²
395	1003_neg	NEG	Tuja	Tujia	tha⁵⁵	tha⁵⁵	tʰ a ⁵⁵	nort2732	1240	29.3	109.76		1 7 8	AXT	TA5	42	42.T.C 42.A.V 42.5.T	1.6 3.0 1.0	tʰa⁵⁵	0	58	tʰ a ⁵⁵
396	1003_neg	NEG	WrittenBurmese	Burmese (Written)	mɑ¹ bhu³	mɑ¹_bhu³	m ɑ ¹ + bʰ u ³	nucl1310	1240	20.79	93.97		4 7 8 9 1 7 8	AXT_AXT	MA6_PY6	43	43.M.C 43.A.V 43.6.T 43._._ 43.P.C 43.Y.V 43.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	mɑ¹+bʰu³	0	53 57	m ɑ - ¹ + bʰ u ³
397	1003_neg	NEG	SpokenBurmese	Burmese (Rangoon)	mɑ⁵³ bu⁵⁵	mɑ⁵³_bu⁵⁵	m ɑ ⁵³ + b u ⁵⁵	nucl1310	1240	20.79	93.97		4 7 8 9 1 7 8	AXT_AXT	MA3_PY5	36	36.M.C 36.A.V 36.3.T 36._._ 36.P.C 36.Y.V 36.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	mɑ⁵³+bu⁵⁵	0	53 57	m ɑ - ⁵³ + b u ⁵⁵
398	1003_neg	NEG	Achang	Achang (Longchuan)	ma³¹	ma³¹	m a ³¹	acha1249	1240	24.35	97.74		4 7 8	AXT	MA3	1	1.M.C 1.A.V 1.3.T	1.6 3.0 1.0	ma³¹	0	53	m a - ³¹
399	1003_neg	NEG	Zaiwa	Zaiwa [Atsi]	a²¹	a²¹	a ²¹	zaiw1241	1240	24.17	98.36		7 8	XT	A3	50	50.A.V 50.3.T	3.0 1.0	a²¹	0	54	a ²¹
400	1003_neg	NEG	LhaoVo	Langsu [Maru]	mə̆³¹	mə³¹	m ə ³¹	maru1249	1240	24.94	99.83		4 7 8	AXT	ME3	18	18.M.C 18.E.V 18.3.T	1.6 3.0 1.0	mə³¹	0	53	m ə - ³¹
401	1003_neg	NEG	Nung	Nu (Fugong) [Anong]	m̩³¹	m³¹	m ³¹	nung1282	1240	27.29	98.73		4 8	AT	M3	27	27.M.C 27.3.T	1.6 1.0	m³¹	0	53	m - - ³¹
402	1003_neg	NEG	Nusu	Nu (Bijiang) [Nusu]	mɑ³³	mɑ³³	m ɑ ³³	nusu1239	1240	26.73	98.88		4 7 8	AXT	MA4	28	28.M.C 28.A.V 28.4.T	1.6 3.0 1.0	mɑ³³	0	53	m ɑ - ³³
403	1003_neg	NEG	Derung	Trung	mɯ³¹	mɯ³¹	m ɯ ³¹	drun1238	1240	28.01	98.49		4 7 8	AXT	MI3	6	6.M.C 6.I.V 6.3.T	1.6 3.0 1.0	mɯ³¹	0	53	m ɯ - ³¹
