SID	SWADESH	YAKHONTOV	ENGLISH	CHINESE	LANGUAGE	COGNATE	FORM	CONCEPTICON_ID	CONCEPTICON_GLOSS
999	9		all/even	都	28	28	dɿ³³ tɑ³³ ʑi³³		
999	9		all/even	都	29	20	kha⁵⁵ ŋɤ⁵⁵ kɤ⁵⁵		
999	9		all/even	都	30	30	sa³¹ ne³³		
999	9		all/even	都	31	31	tɕi⁵⁵		
999	9		all/even	都	32	20	kᴀ³¹		
999	9		all/even	都	33	33	tu⁴⁴		
999	9		all/even	都	34	34	ji³⁵ sou³¹		
999	9		all/even	都	35	35	tsɑ³⁵ kɛ²¹̃ tsi³³		
999	9		all/even	都	36	36	ɣo²¹		
999	9		all/even	都	37	37	xu³⁵ ȵi⁵⁵		
999	9		all/even	都	38	10	ɑ³ luṁ³		
999	9		all/even	都	39	10	ɑ⁵⁵ lõ⁵⁵		
999	9		all/even	都	40	40	pʐa³¹ pʐa³¹		
999	9		all/even	都	41	41	tʃa̱t⁵⁵		
999	9		all/even	都	42	10	lɔ̱⁵⁵̃		
999	9		all/even	都	43	43	ɑ³¹ ʔɖɑŋ⁵⁵		
999	9		all/even	都	44	44	ɑ³¹ dʑi³¹		
999	9		all/even	都	45	30	sɯ³¹ nɑ̆ʔ⁵⁵		
999	9		all/even	都	46	46	joŋ³¹		
999	9		all/even	都	47	47	kɯm⁵⁵ blui⁵⁵		
999	9		all/even	都	48	48	kɑ³¹ diɯ³⁵		
999	9		all/even	都	49	47	ke⁵⁵ bɑ⁵⁵		
999	9		all/even	都	50	50	mɯ liŋ		
999	9		all/even	都	51	10	mə³³ ləŋ³³		
819	10	47	many	多	1	1	maŋ po		
819	10	47	many	多	2	1	maŋ¹⁵ ko⁵³		
819	10	47	many	多	3	1	muŋ¹³ bo⁵³		
819	10	47	many	多	4	1	maŋ wo		
819	10	47	many	多	5	1	maŋ		
819	10	47	many	多	6	1	mᴀŋ¹³ po⁵³		
819	10	47	many	多	7	7	zak po; ɕa ma		
819	10	47	many	多	8	8	quə ɣli		
819	10	47	many	多	9	9	dio²⁴¹		
819	10	47	many	多	10	1	ʑɨ⁵⁵ mə⁵³		
819	10	47	many	多	11	11	ʒə⁵⁵		
819	10	47	many	多	12	12	kə mcça		
819	10	47	many	多	13	13	wʐe		
819	10	47	many	多	14	14	kɛ³³ ji⁵³		
819	10	47	many	多	15	13	ʑi⁵⁵ ʑi⁵³		
819	10	47	many	多	16	16	tø³³ nbu⁵³		
819	10	47	many	多	17	1	jɑ³³ mi⁵⁵		
819	10	47	many	多	18	18	da⁵⁵ bəʴ³³		
819	10	47	many	多	19	18	bɛ³⁵̃		
819	10	47	many	多	20	1	a⁴⁴ ȵi³		
819	10	47	many	多	21	1	ɳɒ³³		
819	10	47	many	多	22	22	khu⁵⁵		
819	10	47	many	多	23	1	pɯ³³ ; no²¹		
819	10	47	many	多	24	1	no²¹		
819	10	47	many	多	25	1	no³³		
819	10	47	many	多	26	1	ȵɛ³¹ ; miɛ³¹		
819	10	47	many	多	27	18	bɯ³¹		
819	10	47	many	多	28	28	tɕi¹³		
819	10	47	many	多	29	1	mɔ³¹		
819	10	47	many	多	30	1	mja³¹		
819	10	47	many	多	31	1	mɔ³¹		
819	10	47	many	多	32	1	mᴀ⁵³		
819	10	47	many	多	33	33	a³³ to⁴⁴		
819	10	47	many	多	34	13	tɕi³⁵		
819	10	47	many	多	35	13	tɕi⁵⁵		
819	10	47	many	多	36	13	ti⁵⁵		
819	10	47	many	多	37	13	zi²¹		
819	10	47	many	多	38	1	mjɑ³		
819	10	47	many	多	39	1	mjɑ⁵⁵		
819	10	47	many	多	40	1	ȵɔ³¹		
819	10	47	many	多	41	1	mjo²¹		
819	10	47	many	多	42	1	mjɔ³⁵		
819	10	47	many	多	43	18	bɯm³¹		
819	10	47	many	多	44	44	dʑɯ³¹		
819	10	47	many	多	45	18	bɯ̆m⁵³		
819	10	47	many	多	46	46	loʔ⁵⁵		
819	10	47	many	多	47	47	juŋ⁵⁵		
819	10	47	many	多	48	48	dɯ³⁵		
819	10	47	many	多	49	18	pɑ⁵⁵ tsɑ⁵⁵		
819	10	47	many	多	50	50	əɯ		
819	10	47	many	多	51	44	a³³ dʑɛ³³		
911	11	59	one	一	1	1	gtɕig		
911	11	59	one	一	2	1	tɕiʔ⁵³		
911	11	59	one	一	3	1	tɕi⁵³		
911	11	59	one	一	4	1	htɕək		
911	11	59	one	一	5	1	ɣtɕek		
911	11	59	one	一	6	6	theʔ⁵³		
